"買付地・発送地 エリアコード","買付地・発送地 都市コード","グループ名","エリア名","都市名"
"1000001","000","日本","北海道","北海道"
"1000002","000","日本","青森県","青森県"
"1000003","000","日本","岩手県","岩手県"
"1000004","000","日本","宮城県","宮城県"
"1000005","000","日本","秋田県","秋田県"
"1000006","000","日本","山形県","山形県"
"1000007","000","日本","福島県","福島県"
"1000008","000","日本","茨城県","茨城県"
"1000009","000","日本","栃木県","栃木県"
"1000010","000","日本","群馬県","群馬県"
"1000011","000","日本","埼玉県","埼玉県"
"1000012","000","日本","千葉県","千葉県"
"1000013","000","日本","東京都","東京都"
"1000014","000","日本","神奈川県","神奈川県"
"1000015","000","日本","新潟県","新潟県"
"1000016","000","日本","富山県","富山県"
"1000017","000","日本","石川県","石川県"
"1000018","000","日本","福井県","福井県"
"1000019","000","日本","山梨県","山梨県"
"1000020","000","日本","長野県","長野県"
"1000021","000","日本","岐阜県","岐阜県"
"1000022","000","日本","静岡県","静岡県"
"1000023","000","日本","愛知県","愛知県"
"1000024","000","日本","三重県","三重県"
"1000025","000","日本","滋賀県","滋賀県"
"1000026","000","日本","京都府","京都府"
"1000027","000","日本","大阪府","大阪府"
"1000028","000","日本","兵庫県","兵庫県"
"1000029","000","日本","奈良県","奈良県"
"1000030","000","日本","和歌山県","和歌山県"
"1000031","000","日本","鳥取県","鳥取県"
"1000032","000","日本","島根県","島根県"
"1000033","000","日本","岡山県","岡山県"
"1000034","000","日本","広島県","広島県"
"1000035","000","日本","山口県","山口県"
"1000036","000","日本","徳島県","徳島県"
"1000037","000","日本","香川県","香川県"
"1000038","000","日本","愛媛県","愛媛県"
"1000039","000","日本","高知県","高知県"
"1000040","000","日本","福岡県","福岡県"
"1000041","000","日本","佐賀県","佐賀県"
"1000042","000","日本","長崎県","長崎県"
"1000043","000","日本","熊本県","熊本県"
"1000044","000","日本","大分県","大分県"
"1000045","000","日本","宮崎県","宮崎県"
"1000046","000","日本","鹿児島県","鹿児島県"
"1000047","000","日本","沖縄県","沖縄県"
"2000001","000","ビーチ/リゾート","グアム","グアム"
"2000003","000","ビーチ/リゾート","サモア","サモア"
"2000004","000","ビーチ/リゾート","タヒチ","タヒチ"
"2000005","000","ビーチ/リゾート","トンガ","トンガ"
"2000007","000","ビーチ/リゾート","バヌアツ","バヌアツ"
"2000009","000","ビーチ/リゾート","フィジー","フィジー"
"2000012","000","ビーチ/リゾート","モルディブ","モルディブ"
"2001001","000","北米","アメリカ合衆国","アメリカ合衆国"
"2001001","001","北米","アメリカ合衆国","ニューヨーク"
"2001001","002","北米","アメリカ合衆国","ロサンジェルス"
"2001001","003","北米","アメリカ合衆国","ボストン"
"2001001","004","北米","アメリカ合衆国","シカゴ"
"2001001","005","北米","アメリカ合衆国","シアトル"
"2001001","006","北米","アメリカ合衆国","ワシントンD.C."
"2001001","007","北米","アメリカ合衆国","サンフランシスコ"
"2001001","008","北米","アメリカ合衆国","マイアミ"
"2001001","009","北米","アメリカ合衆国","ラスベガス"
"2001001","010","北米","アメリカ合衆国","デトロイト"
"2001001","012","北米","アメリカ合衆国","ハワイ"
"2001001","013","北米","アメリカ合衆国","サイパン"
"2001002","000","北米","アラスカ（アメリカ）","アラスカ（アメリカ）"
"2001003","000","北米","カナダ","カナダ"
"2001003","001","北米","カナダ","バンクーバー"
"2002001","000","アジア","インド","インド"
"2002002","000","アジア","インドネシア","インドネシア"
"2002002","001","アジア","インドネシア","バリ"
"2002003","000","アジア","韓国","韓国"
"2002003","001","アジア","韓国","ソウル"
"2002004","000","アジア","カンボジア","カンボジア"
"2002005","000","アジア","シンガポール","シンガポール"
"2002006","000","アジア","スリランカ","スリランカ"
"2002007","000","アジア","タイ","タイ"
"2002007","001","アジア","タイ","バンコク"
