"ブランドID","ブランド名","制限"
"1","Jan Marini(ジャンマリーニ)",""
"2","Revitalash(リバイタラッシュ)",""
"3","NUXE(ニュクス)",""
"4","TOCCA(トッカ)",""
"5","AVEDA(アヴェダ)",""
"6","RMK(アールエムケー)",""
"7","BIODERMA(ビオデルマ)",""
"8","LA ROCHE-POSAY(ラロッシュポゼ)",""
"9","WELEDA(ヴェレダ)",""
"10","Fragonard(フラゴナール)",""
"11","Exuviance(エクスビアンス)",""
"12","L'OCCITANE(ロクシタン)",""
"13","Bath & Body Works(バスアンドボディーワークス)",""
"15","Benefit(ベネフィット)",""
"16","EGYPTIAN MAGIC(エジプシャンマジック)",""
"17","SEPHORA(セフォラ)",""
"19","SKIN FOOD(スキンフード)",""
"20","banila co(バニラコー)",""
"21","ETUDE HOUSE(エチュードハウス)",""
"22","Dr.Hauschka(ドクターハウシュカ)",""
"23","ISH(イシュ)",""
"24","Green Mama(グリーンママ)",""
"25","Reviva Labs(レビバラボズ)",""
"26","Annick Goutal(アニックグタール)",""
"27","Whitestrips(ホワイトストリップス)",""
"28","Avene(アベンヌ)",""
"29","Bliss(ブリス)",""
"30","Agronatura(アグロナチュラ)",""
"31","MAC(マック)",""
"32","Jo Malone(ジョーマローン)",""
"33","MOLTON BROWN(モルトンブラウン)",""
"34","CAUDALIE(コーダリー)",""
"35","Durance(デュランス)",""
"36","PERFECT POTION(パーフェクトポーション)",""
"37","Monyette Paris(モニエットパリス)",""
"38","PHYTOMER(フィトメール)",""
"39","EMBRYOLISSE(アンブリオリス)",""
"40","Eucerin(ユーセリン)",""
"41","Aura Cacia(オウラカシア)",""
"42","Santa Maria Novella(サンタマリアノヴェッラ)",""
"43","GIVENCHY(ジバンシィ)",""
"44","LANCOME(ランコム)",""
"45","OPI(オーピーアイ)",""
"46","NARS(ナーズ)",""
"47","BOBBI BROWN(ボビイ ブラウン)",""
"48","Stila(スティラ)",""
"50","Oe(オーガニックエレメンツ)",""
"51","Organic Pharmacy(オーガニックファーマシー)",""
"52","KORRES(コレス)",""
"53","GUERLAIN(ゲラン)",""
"55","DECLEOR(デクレオール)",""
"57","laura mercier(ローラメルシエ)",""
"59","ESTEE LAUDER(エスティーローダー)",""
"60","Carole Franck(キャロルフランク)",""
"62","Patyka(パティカ)",""
"64","JURLIQUE(ジュリーク)",""
"65","FredericFekkai(フレデリックフェッカイ)",""
"66","AESOP(イソップ)",""
"67","wAtOSA(ワトゥサ)",""
"68","PHILIP B(フィリップビー)",""
"69","L'ARTISAN PARFUMEUR(ラルチザンパフューム)",""
"70","ERB(アーヴ)",""
"71","MILLER HARRIS(ミラーハリス)",""
"72","CREED(クリード)",""
"73","DIPTYQUE(ディプティック)",""
"75","LA MER(ラ・メール)",""
"76","AROMATHERAPY ASSOCIATES(アロマセラピーアソシエイツ)",""
"77","dermalogica(ダーマロジカ)",""
"78","AHAVA(アハバ)",""
"79","KERASTASE(ケラスターゼ)",""
"80","PHYTO(フィト)",""
"81","Abercrombie & Fitch(アバクロ)",""
"82","H&M(エイチアンドエム)",""
"83","MONCLER(モンクレール)","有り"
"84","Ralph Lauren(ラルフローレン)",""
"85","Chloe(クロエ)",""
"86","JUICY COUTURE(ジューシークチュール)",""
"87","TOPSHOP(トップショップ)",""
"88","Forever21(フォーエバー21)",""
"89","UGG(アグ)","有り"
"90","RUEHL No.925(ルール)",""
"91","Minnetonka(ミネトンカ)",""
"92","Melissa(メリッサ)",""
"93","Hollister Co.(ホリスター)",""
"94","JUNK FOOD(ジャンクフード)",""
"95","Victoria's Secret(ヴィクトリアズシークレット)",""
"96","2BFREE(ツービーフリー)",""
"97","3.1 Phillip Lim(3.1フィリップリム)",""
"98","55DSL(フィフティーファイブディーエスエル)",""
"99","a.testoni(アテストーニ)",""
"100","A/X Armani Exchange(アルマーニエクスチェンジ)",""
"101","ABACO(アバコ)",""
"102","Abaete(アバエテ)",""
"103","Abas(アバス)",""
"104","Accessorize(アクセサライズ)",""
"105","adidas(アディダス)",""
"106","Aeropostale(エアロポステール)",""
"107","AG/ADRIANO GOLDSCHMIED(エージー/アドリアーノゴールドシュミット)",""
"108","Akademiks(アカデミクス)",""
"109","ALBERTA FERRETTI(アルベルタフェレッティ)",""
"110","ALDO(アルド)",""
"111","alexander mcqueen(アレキサンダーマックイーン)",""
"112","Alexander Wang(アレキサンダーワン)",""
"113","American Apparel(アメリカンアパレル)",""
"114","American Eagle Outfitters(アメリカンイーグル)",""
"115","American Retro(アメリカンレトロ)",""
"116","ANDREA BRUECKNER(アンドレアブリュックナー)",""
"117","Anna Corinna(アンナコリーナ)",""
"118","ANNA SUI(アナスイ)",""
"119","Anne Klein(アンクライン)",""
"120","ANNIEL SPORT(アニエルスポーツ)",""
"121","ANTEPRIMA(アンテプリマ)",""
"122","Anthropologie(アンソロポロジー)",""
"123","Anya Hindmarch(アニヤハインドマーチ)",""
"124","April77(エイプリル77)",""
"125","Arden B(アーデン・ビー)",""
"126","ARMANI COLLEZIONI(アルマーニコレツォーニ)",""
"127","asics(アシックス)",""
"128","ASOS(エイソス)",""
"129","ATSUKO MATANO(マタノアツコ)",""
"130","babyphat(ベイビーファット)",""
"131","BALENCIAGA(バレンシアガ)",""
"132","BALLY(バリー)",""
"133","Banana Republic(バナナリパブリック)",""
"134","BARBARIAN(バーバリアン)",""
"135","BCBG MAXAZRIA(ビーシービージーマックスアズリア)",""
"136","BCBGirls(ビーシービーガールズ)",""
"137","bebe(ビビ)",""
"138","Ben Sherman(ベンシャーマン)",""
"139","Bensimon(ベンシモン)",""
"141","Betsey Johnson(ベッツィジョンソン)",""
"142","Billabong(ビラボン)",""
"143","BIRKENSTOCK(ビルケンシュトック)",""
"144","BITTEN Sarah Jessica Parker(ビトゥンサラジェシカパーカー)",""
"145","Botkier(ボトキエ)",""
"146","BOTTEGA VENETA(ボッテガヴェネタ)",""
"147","Bread & Butta(ブレッド&バター)",""
"148","Bruno Magli(ブルーノマリ)",""
"149","Bulga(ブルガ)",""
"150","Burberry(バーバリー)",""
"151","Burton(バートン)",""
"152","Calvin Klein(カルバンクライン)",""
"153","Cartier(カルティエ)",""
"154","Castaner(カスタニエール)",""
"155","Cath Kidston(キャスキッドソン)",""
"156","Catherine Malandrino(キャサリンマランドリーノ)",""
"157","CCSkye(シーシースカイ)",""
"158","CHANEL(シャネル)",""
"159","CHARLES JOURDAN(シャルルジョルダン)",""
"160","Charlotte Russe(シャーロットルッセ)",""
"161","CHEAP MONDAY(チープマンデー)",""
"162","CHIE MIHARA(チエミハラ)",""
"163","Dior(ディオール)",""
"164","Christian Louboutin(クリスチャンルブタン)",""
"165","Clarks(クラークス)",""
"166","Club Monaco(クラブモナコ)",""
"167","Coach(コーチ)",""
"168","COCCINELLE(コチネレ)",""
"169","Cole Haan(コールハーン)",""
"170","COMME des GARCONS(コムデギャルソン)",""
"171","CORTO MOLTEDO(コルトモルテド)",""
"172","CROCS(クロックス)",""
