"モデルID","ブランドID","ブランド名","モデル名"
"1","167","Coach(コーチ)","BASEBALL(ベースボール)"
"2","167","Coach(コーチ)","BLEECKER(ブリーカー)"
"3","167","Coach(コーチ)","CLASSIC(クラシック)"
"4","167","Coach(コーチ)","CROSBY(クロスビー)"
"5","167","Coach(コーチ)","HAMPTONS(ハンプトンズ)"
"6","167","Coach(コーチ)","HARRISON(ハリソン)"
"7","167","Coach(コーチ)","HERITAGE STRIPE(ヘリテージストライプ)"
"8","167","Coach(コーチ)","HUGO　GUINESS(ヒューゴギネス)"
"9","167","Coach(コーチ)","JULIA(ジュリア)"
"10","167","Coach(コーチ)","KRISTIN(クリスティン)"
"11","167","Coach(コーチ)","LEGACY(レガシー)"
"12","167","Coach(コーチ)","MADISON(マディソン)"
"13","167","Coach(コーチ)","OP ART(オプ　アート)"
"14","167","Coach(コーチ)","POPPY(ポピー)"
"15","167","Coach(コーチ)","SIGNATURE(シグネチャー)"
"16","167","Coach(コーチ)","THOMPSON(トンプソン)"
"17","167","Coach(コーチ)","TRANSATLANTIC(トランスアトランティック)"
"18","167","Coach(コーチ)","WASHED　CANVAS(ウォッシュドキャンパス)"
"19","167","Coach(コーチ)","WILLIS(ウィリス)"
"20","929","ALDEN(オールデン)","BARRIE　LAST(バリーラスト)"
"21","929","ALDEN(オールデン)","VAN　LAST(ヴァンラスト)"
"22","929","ALDEN(オールデン)","MODIFIED　LAST(モディファイドラスト)"
"23","929","ALDEN(オールデン)","LEYDON　LAST(レイドンラスト)"
"24","929","ALDEN(オールデン)","MILITARY　LAST(ミリタリーラスト)"
"25","929","ALDEN(オールデン)","ABERDEEN LAST(アバディーンラスト)"
"26","929","ALDEN(オールデン)","CAPLI　LAST(カプリラスト)"
"27","929","ALDEN(オールデン)","LEXINGTON　LAST(レキシントンラスト)"
"28","951","John Lobb(ジョンロブ)","BECKETTS(ベケッツ)"
"29","951","John Lobb(ジョンロブ)","CAMBERLEY(ケンバリー)"
"30","951","John Lobb(ジョンロブ)","CHAMBORD(シャンボード)"
"31","951","John Lobb(ジョンロブ)","CHAPEL(チャペル)"
"32","951","John Lobb(ジョンロブ)","CHESTER(チェスター)"
"33","951","John Lobb(ジョンロブ)","CHIGWELL(チグウェル)"
"34","951","John Lobb(ジョンロブ)","CITY II(シティー2)"
"35","951","John Lobb(ジョンロブ)","DARBY(ダービー)"
"36","951","John Lobb(ジョンロブ)","HUTTON(ハットン)"
"37","951","John Lobb(ジョンロブ)","KIPLING(キプリング)"
"38","951","John Lobb(ジョンロブ)","LOPEZ(ロペス)"
"39","951","John Lobb(ジョンロブ)","PHILIP II(フィリップ2)"
"40","951","John Lobb(ジョンロブ)","RIVIERA(リビエラ)"
"41","951","John Lobb(ジョンロブ)","TRURO(トゥルーロ)"
"42","951","John Lobb(ジョンロブ)","TUDOR(チューダー)"
"43","951","John Lobb(ジョンロブ)","TURVEY(ターベイ)"
"44","951","John Lobb(ジョンロブ)","WILLIAM(ウィリアム)"
"45","951","John Lobb(ジョンロブ)","WINNER(ウィナー)"
"46","4138","SSUR(サー)","COMME des FUCKDOWN(コムデファックダウン)"
"47","164","Christian Louboutin(クリスチャンルブタン)","ROLLERBOY(ローラーボーイ)"
"48","164","Christian Louboutin(クリスチャンルブタン)","ROLLER　BOAT(ローラーボート)"
"49","164","Christian Louboutin(クリスチャンルブタン)","LOUIS(ルイス)"
"50","83","MONCLER(モンクレール)","AMAZZONE"
"51","83","MONCLER(モンクレール)","AUBERT"
"52","83","MONCLER(モンクレール)","BIENVENU"
"53","83","MONCLER(モンクレール)","BRESLE(ブレスル)"
"54","83","MONCLER(モンクレール)","CANUT"
"55","83","MONCLER(モンクレール)","CESAR"
"56","83","MONCLER(モンクレール)","CHEVAL"
