"シーズンID","シーズン名"
"0","指定なし"
"1","2009 以前"
"2","2010 Cruise"
"3","2010 SS(春夏)"
"4","2010-11 AW(秋冬)"
"5","2011 Cruise"
"6","2011 SS(春夏)"
"7","2011-12 AW(秋冬)"
"8","2012 Cruise"
"9","2012 SS(春夏)"
"10","2012-13 AW(秋冬)"
"11","2013 Cruise"
"12","2013 SS(春夏)"
"13","2013-14 AW(秋冬)"
"14","2014 Cruise"
"15","2014 SS(春夏)"
"16","2014-15AW(秋冬)"
"17","2015 Cruise"
"18","2015 SS(春夏)"
"19","2015-16AW(秋冬)"
"20","2016 Cruise"
"21","2016 SS(春夏)"
"22","2016-17AW(秋冬)"
"23","2017 Cruise"
"24","2017 SS(春夏)"
"25","2017-18AW(秋冬)"
"26","2018 Cruise"
"27","2018 SS(春夏)"
"28","2018-19AW(秋冬)"
"29","2019 Cruise"
"30","2019 SS(春夏)"
"31","2019-20AW(秋冬)"
"32","2020 Cruise"
"33","2020 SS(春夏)"
"34","2020-21 AW(秋冬)"
"35","2021 Cruise"
"36","2021 SS(春夏)"
"37","2021-22 AW(秋冬)"
"38","2022 Cruise"
"39","2022 SS(春夏)"
"40","2022-23 AW(秋冬)"
"41","2023 Cruise"
"42","2023 SS(春夏)"
"43","2023-24 AW(秋冬)"
"44","2024 SS(春夏)"
"45","2024 Cruise"
"46","2024-2025 AW"
"47","2025 SS（春夏）"
"48","2025　Cruise"
"49","2025-2026 AW"
"50","2026SS"
"51","2026-2027 AW"
"1990","1990"
"1991","1991"
"1992","1992"
"1993","1993"
"1994","1994"
"1995","1995"
"1996","1996"
"1997","1997"
"1998","1998"
"1999","1999"
"2000","2000"
"2001","2001"
"2002","2002"
"2003","2003"
"2004","2004"
"2005","2005"
"2006","2006"
"2007","2007"
"2008","2008"
"2009","2009"
