"名前","グループ名","カテゴリID","カテゴリ名","カテゴリパス"
"ウエスト","水着女性","2111","水着・ビーチグッズ","レディースファッション"
"ヒップ","水着女性","2111","水着・ビーチグッズ","レディースファッション"
"総丈","水着女性","2111","水着・ビーチグッズ","レディースファッション"
"トップ","水着女性","2111","水着・ビーチグッズ","レディースファッション"
"アンダー","水着女性","2111","水着・ビーチグッズ","レディースファッション"
"ウエスト","水着男性","2210","水着・ビーチグッズ","メンズファッション"
"ヒップ","水着男性","2210","水着・ビーチグッズ","メンズファッション"
"股下","水着男性","2210","水着・ビーチグッズ","メンズファッション"
"もも周り","水着男性","2210","水着・ビーチグッズ","メンズファッション"
"すそ周り","水着男性","2210","水着・ビーチグッズ","メンズファッション"
"着丈","トップス袖あり","3001","Tシャツ・カットソー","レディースファッション/トップス"
"肩幅","トップス袖あり","3001","Tシャツ・カットソー","レディースファッション/トップス"
"胸囲","トップス袖あり","3001","Tシャツ・カットソー","レディースファッション/トップス"
"袖丈","トップス袖あり","3001","Tシャツ・カットソー","レディースファッション/トップス"
"着丈","トップス袖あり","3003","チュニック","レディースファッション/トップス"
"肩幅","トップス袖あり","3003","チュニック","レディースファッション/トップス"
"胸囲","トップス袖あり","3003","チュニック","レディースファッション/トップス"
"袖丈","トップス袖あり","3003","チュニック","レディースファッション/トップス"
"着丈","トップス袖あり","3004","ニット・セーター","レディースファッション/トップス"
"肩幅","トップス袖あり","3004","ニット・セーター","レディースファッション/トップス"
"胸囲","トップス袖あり","3004","ニット・セーター","レディースファッション/トップス"
"袖丈","トップス袖あり","3004","ニット・セーター","レディースファッション/トップス"
"着丈","トップス袖あり","3005","パーカー・フーディ","レディースファッション/トップス"
"肩幅","トップス袖あり","3005","パーカー・フーディ","レディースファッション/トップス"
"胸囲","トップス袖あり","3005","パーカー・フーディ","レディースファッション/トップス"
"袖丈","トップス袖あり","3005","パーカー・フーディ","レディースファッション/トップス"
"着丈","トップス袖あり","3006","スウェット・トレーナー","レディースファッション/トップス"
"肩幅","トップス袖あり","3006","スウェット・トレーナー","レディースファッション/トップス"
"胸囲","トップス袖あり","3006","スウェット・トレーナー","レディースファッション/トップス"
"袖丈","トップス袖あり","3006","スウェット・トレーナー","レディースファッション/トップス"
"着丈","トップス袖あり","3007","ブラウス・シャツ","レディースファッション/トップス"
"肩幅","トップス袖あり","3007","ブラウス・シャツ","レディースファッション/トップス"
"胸囲","トップス袖あり","3007","ブラウス・シャツ","レディースファッション/トップス"
"袖丈","トップス袖あり","3007","ブラウス・シャツ","レディースファッション/トップス"
"着丈","トップス袖あり","3008","ポロシャツ","レディースファッション/トップス"
"肩幅","トップス袖あり","3008","ポロシャツ","レディースファッション/トップス"
"胸囲","トップス袖あり","3008","ポロシャツ","レディースファッション/トップス"
"袖丈","トップス袖あり","3008","ポロシャツ","レディースファッション/トップス"
"着丈","トップス袖なし","3009","ベスト・ジレ","レディースファッション/トップス"
"胸囲","トップス袖なし","3009","ベスト・ジレ","レディースファッション/トップス"
"着丈","トップス袖あり","3010","トップスその他","レディースファッション/トップス"
"肩幅","トップス袖あり","3010","トップスその他","レディースファッション/トップス"
"胸囲","トップス袖あり","3010","トップスその他","レディースファッション/トップス"
"袖丈","トップス袖あり","3010","トップスその他","レディースファッション/トップス"
"着丈","トップス袖なし","3011","タンクトップ","レディースファッション/トップス"
"胸囲","トップス袖なし","3011","タンクトップ","レディースファッション/トップス"
"ウエスト","ボトムススカート","3020","スカート","レディースファッション/ボトムス"
"ヒップ","ボトムススカート","3020","スカート","レディースファッション/ボトムス"
"スカート丈","ボトムススカート","3020","スカート","レディースファッション/ボトムス"
"ウエスト","ボトムススカート","3021","ミニスカート","レディースファッション/ボトムス"
"ヒップ","ボトムススカート","3021","ミニスカート","レディースファッション/ボトムス"
"スカート丈","ボトムススカート","3021","ミニスカート","レディースファッション/ボトムス"
"ウエスト","ボトムスパンツ","3022","パンツ","レディースファッション/ボトムス"
"ヒップ","ボトムスパンツ","3022","パンツ","レディースファッション/ボトムス"
"股上","ボトムスパンツ","3022","パンツ","レディースファッション/ボトムス"
"股下","ボトムスパンツ","3022","パンツ","レディースファッション/ボトムス"
"もも周り","ボトムスパンツ","3022","パンツ","レディースファッション/ボトムス"
"すそ周り","ボトムスパンツ","3022","パンツ","レディースファッション/ボトムス"
"ウエスト","ボトムスパンツ","3023","ショートパンツ","レディースファッション/ボトムス"
"ヒップ","ボトムスパンツ","3023","ショートパンツ","レディースファッション/ボトムス"
"股上","ボトムスパンツ","3023","ショートパンツ","レディースファッション/ボトムス"
"股下","ボトムスパンツ","3023","ショートパンツ","レディースファッション/ボトムス"
"もも周り","ボトムスパンツ","3023","ショートパンツ","レディースファッション/ボトムス"
"すそ周り","ボトムスパンツ","3023","ショートパンツ","レディースファッション/ボトムス"
"ウエスト","ボトムスパンツ","3024","デニム・ジーパン","レディースファッション/ボトムス"
"ヒップ","ボトムスパンツ","3024","デニム・ジーパン","レディースファッション/ボトムス"
"股上","ボトムスパンツ","3024","デニム・ジーパン","レディースファッション/ボトムス"
"股下","ボトムスパンツ","3024","デニム・ジーパン","レディースファッション/ボトムス"
"もも周り","ボトムスパンツ","3024","デニム・ジーパン","レディースファッション/ボトムス"
"すそ周り","ボトムスパンツ","3024","デニム・ジーパン","レディースファッション/ボトムス"
"ウエスト","ボトムスパンツ","3025","ボトムスその他","レディースファッション/ボトムス"
"ヒップ","ボトムスパンツ","3025","ボトムスその他","レディースファッション/ボトムス"
