"サイズの種類ID","サイズの種類名","カテゴリID","カテゴリ名","カテゴリパス"
"1","XS以下","3001","Tシャツ・カットソー","レディースファッション/トップス"
"2","S","3001","Tシャツ・カットソー","レディースファッション/トップス"
"3","M","3001","Tシャツ・カットソー","レディースファッション/トップス"
"4","L","3001","Tシャツ・カットソー","レディースファッション/トップス"
"5","XL以上","3001","Tシャツ・カットソー","レディースファッション/トップス"
"1","XS以下","3003","チュニック","レディースファッション/トップス"
"2","S","3003","チュニック","レディースファッション/トップス"
"3","M","3003","チュニック","レディースファッション/トップス"
"4","L","3003","チュニック","レディースファッション/トップス"
"5","XL以上","3003","チュニック","レディースファッション/トップス"
"1","XS以下","3004","ニット・セーター","レディースファッション/トップス"
"2","S","3004","ニット・セーター","レディースファッション/トップス"
"3","M","3004","ニット・セーター","レディースファッション/トップス"
"4","L","3004","ニット・セーター","レディースファッション/トップス"
"5","XL以上","3004","ニット・セーター","レディースファッション/トップス"
"1","XS以下","3005","パーカー・フーディ","レディースファッション/トップス"
"2","S","3005","パーカー・フーディ","レディースファッション/トップス"
"3","M","3005","パーカー・フーディ","レディースファッション/トップス"
"4","L","3005","パーカー・フーディ","レディースファッション/トップス"
"5","XL以上","3005","パーカー・フーディ","レディースファッション/トップス"
"1","XS以下","3006","スウェット・トレーナー","レディースファッション/トップス"
"2","S","3006","スウェット・トレーナー","レディースファッション/トップス"
"3","M","3006","スウェット・トレーナー","レディースファッション/トップス"
"4","L","3006","スウェット・トレーナー","レディースファッション/トップス"
"5","XL以上","3006","スウェット・トレーナー","レディースファッション/トップス"
"1","XS以下","3007","ブラウス・シャツ","レディースファッション/トップス"
"2","S","3007","ブラウス・シャツ","レディースファッション/トップス"
"3","M","3007","ブラウス・シャツ","レディースファッション/トップス"
"4","L","3007","ブラウス・シャツ","レディースファッション/トップス"
"5","XL以上","3007","ブラウス・シャツ","レディースファッション/トップス"
"1","XS以下","3008","ポロシャツ","レディースファッション/トップス"
"2","S","3008","ポロシャツ","レディースファッション/トップス"
"3","M","3008","ポロシャツ","レディースファッション/トップス"
"4","L","3008","ポロシャツ","レディースファッション/トップス"
"5","XL以上","3008","ポロシャツ","レディースファッション/トップス"
"1","XS以下","3009","ベスト・ジレ","レディースファッション/トップス"
"2","S","3009","ベスト・ジレ","レディースファッション/トップス"
"3","M","3009","ベスト・ジレ","レディースファッション/トップス"
"4","L","3009","ベスト・ジレ","レディースファッション/トップス"
