"タグID","タグ名","タググループ名","カテゴリID","カテゴリ名","カテゴリパス"
"132","乾燥","お悩み","1003","ビューティー",""
"133","くすみ","お悩み","1003","ビューティー",""
"134","毛穴","お悩み","1003","ビューティー",""
"135","しみ","お悩み","1003","ビューティー",""
"136","しわ","お悩み","1003","ビューティー",""
"137","セルライト","お悩み","1003","ビューティー",""
"138","そばかす","お悩み","1003","ビューティー",""
"139","たるみ","お悩み","1003","ビューティー",""
"140","ニキビ","お悩み","1003","ビューティー",""
"141","皮脂","お悩み","1003","ビューティー",""
"142","美白","お悩み","1003","ビューティー",""
"416","サンプル付","お悩み","1003","ビューティー",""
"578","アンチエイジング","お悩み","1003","ビューティー",""
"580","グロースファクター","お悩み","1003","ビューティー",""
"581","プラセンタ","成分","1003","ビューティー",""
"582","ヒアルロン酸","成分","1003","ビューティー",""
"742","オーガニック認証","成分","1003","ビューティー",""
"743","ナチュラル・オーガニック","成分","1003","ビューティー",""
"744","無香料","成分","1003","ビューティー",""
"745","ダイエット","お悩み","1003","ビューティー",""
"944","【予約】レストラン","予約代行","1009","トラベル",""
"945","【予約】ホテル","予約代行","1009","トラベル",""
"946","【予約】スパ、エステ、マッサージ","予約代行","1009","トラベル",""
"947","【予約】テーマパーク","予約代行","1009","トラベル",""
"948","【予約】アクティビティ体験","予約代行","1009","トラベル",""
"949","【予約】ヨガ、ダンスレッスン","予約代行","1009","トラベル",""
"950","【予約】ライヴ、コンサート","予約代行","1009","トラベル",""
"951","【予約】クルーズ","予約代行","1009","トラベル",""
"952","【予約】スポーツ観戦","予約代行","1009","トラベル",""
"953","【予約】ゴルフ場","予約代行","1009","トラベル",""
"954","【予約】車送迎","予約代行","1009","トラベル",""
"955","【予約】電車","予約代行","1009","トラベル",""
"956","【予約】その他","予約代行","1009","トラベル",""
"957","【ガイド/体験】ハイキング/トレッキング","ガイド/体験","1009","トラベル",""
"958","【ガイド/体験】ショッピング","ガイド/体験","1009","トラベル",""
"959","【ガイド/体験】市内観光","ガイド/体験","1009","トラベル",""
"960","【ガイド/体験】アクティビティ体験","ガイド/体験","1009","トラベル",""
"961","【ガイド/体験】自然体験","ガイド/体験","1009","トラベル",""
"962","【ガイド/体験】釣り、クルーズ","ガイド/体験","1009","トラベル",""
"963","【ガイド/体験】スパ、エステ、マッサージ","ガイド/体験","1009","トラベル",""
"964","【ガイド/体験】テーマパーク","ガイド/体験","1009","トラベル",""
"965","【ガイド/体験】スポーツ観戦","ガイド/体験","1009","トラベル",""
"966","【ガイド/体験】料理教室","ガイド/体験","1009","トラベル",""
"967","【ガイド/体験】アート教室","ガイド/体験","1009","トラベル",""
"968","【ガイド/体験】ワイナリー体験","ガイド/体験","1009","トラベル",""
"969","【ガイド/体験】カフェ巡り","ガイド/体験","1009","トラベル",""
"970","【ガイド/体験】バー巡り","ガイド/体験","1009","トラベル",""
"971","【ガイド/体験】ビアホール巡り","ガイド/体験","1009","トラベル",""
"972","【ガイド/体験】工場見学","ガイド/体験","1009","トラベル",""
"973","【ガイド/体験】見本市、展示会アテンド","ガイド/体験","1009","トラベル",""
"974","【ガイド/体験】VIPセールガイド","ガイド/体験","1009","トラベル",""
"975","【ガイド/体験】その他","ガイド/体験","1009","トラベル",""
"976","観光プラン作成","サポート","1009","トラベル",""
"977","文書翻訳","サポート","1009","トラベル",""
"978","サポートその他","サポート","1009","トラベル",""
"979","絶景スポット","ロケーション","1009","トラベル",""
"980","ビーチ","ロケーション","1009","トラベル",""
"981","パワースポット","ロケーション","1009","トラベル",""
"982","インスタ映え","ロケーション","1009","トラベル",""
"983","穴場スポット","ロケーション","1009","トラベル",""
"984","隠れ家スポット","ロケーション","1009","トラベル",""
"985","世界遺産","ロケーション","1009","トラベル",""
"986","ローカルで人気","ロケーション","1009","トラベル",""
"987","１人旅におすすめ","シチュエーション","1009","トラベル",""
"988","カップルにおすすめ","シチュエーション","1009","トラベル",""
"989","友達同士におすすめ","シチュエーション","1009","トラベル",""
"990","家族におすすめ","シチュエーション","1009","トラベル",""
"991","子供におすすめ","シチュエーション","1009","トラベル",""
"992","日本語対応可能","プラン補足","1009","トラベル",""
"993","サービス利用料金込み","プラン補足","1009","トラベル",""
"994","目安の時間：２時間","プラン補足","1009","トラベル",""
"995","目安の時間：３時間","プラン補足","1009","トラベル",""
"996","目安の時間：半日","プラン補足","1009","トラベル",""
"997","目安の時間：１日","プラン補足","1009","トラベル",""
"998","優先入場","プラン補足","1009","トラベル",""
"999","先着順","プラン補足","1009","トラベル",""
"1000","期間限定","プラン補足","1009","トラベル",""
"1001","女性限定","プラン補足","1009","トラベル",""
"1002","BUYMA限定","プラン補足","1009","トラベル",""
"1003","ベテランガイド","プラン補足","1009","トラベル",""
"1008","【ガイド/体験】スナップ写真、動画","ガイド/体験","1009","トラベル",""
"1009","スナップ写真、動画","プラン補足","1009","トラベル",""
"1038","直前予約OK","プラン補足","1009","トラベル",""
"70","ショート丈","丈","2101","トップス","レディースファッション"
"143","アーガイル","柄","2101","トップス","レディースファッション"
"146","ギンガムチェック","柄","2101","トップス","レディースファッション"
"147","グレンチェック","柄","2101","トップス","レディースファッション"
"148","スカル","柄","2101","トップス","レディースファッション"
"149","ストライプ","柄","2101","トップス","レディースファッション"
"150","ゼブラ","柄","2101","トップス","レディースファッション"
"151","タータンチェック","柄","2101","トップス","レディースファッション"
"152","その他チェック","柄","2101","トップス","レディースファッション"
"157","ハート","柄","2101","トップス","レディースファッション"
"159","花柄","柄","2101","トップス","レディースファッション"
"162","ペイズリー","柄","2101","トップス","レディースファッション"
"163","ボーダー","柄","2101","トップス","レディースファッション"
"164","星","柄","2101","トップス","レディースファッション"
"165","ドット（水玉）","柄","2101","トップス","レディースファッション"
"166","カモフラージュ（迷彩）","柄","2101","トップス","レディースファッション"
"167","モノグラム","柄","2101","トップス","レディースファッション"
"168","ユニオンジャック","柄","2101","トップス","レディースファッション"
"170","レオパード（ヒョウ柄）","柄","2101","トップス","レディースファッション"
"172","千鳥格子","柄","2101","トップス","レディースファッション"
"173","トロピカル柄","柄","2101","トップス","レディースファッション"
"282","ウール","素材","2101","トップス","レディースファッション"
"283","エナメル","素材","2101","トップス","レディースファッション"
"288","カシミヤ","素材","2101","トップス","レディースファッション"
"293","コーデュロイ","素材","2101","トップス","レディースファッション"
"299","シフォン","素材","2101","トップス","レディースファッション"
"303","シルク","素材","2101","トップス","レディースファッション"
"305","スウェット","素材","2101","トップス","レディースファッション"
"306","スエード","素材","2101","トップス","レディースファッション"
"309","ダンガリー","素材","2101","トップス","レディースファッション"
"311","ツイード","素材","2101","トップス","レディースファッション"
"312","ナイロン","素材","2101","トップス","レディースファッション"
"326","ベロア","素材","2101","トップス","レディースファッション"
"337","リネン（麻）","素材","2101","トップス","レディースファッション"
"340","レーヨン","素材","2101","トップス","レディースファッション"
"431","タイダイ","柄","2101","トップス","レディースファッション"
"492","バイカラー","柄","2101","トップス","レディースファッション"
"504","無地","柄","2101","トップス","レディースファッション"
"505","その他アニマル柄","柄","2101","トップス","レディースファッション"
"506","レザー（本革）","素材","2101","トップス","レディースファッション"
"507","フェイクレザー","素材","2101","トップス","レディースファッション"
"508","コットン","素材","2101","トップス","レディースファッション"
"511","ミディアム丈","丈","2101","トップス","レディースファッション"
"512","ロング丈","丈","2101","トップス","レディースファッション"
"544","アンゴラ","素材","2101","トップス","レディースファッション"
"586","デニム","素材","2101","トップス","レディースファッション"
"668","レース","素材","2101","トップス","レディースファッション"
"705","トライバル","柄","2101","トップス","レディースファッション"
"706","パイソン","柄","2101","トップス","レディースファッション"
"1037","ロゴ","柄","2101","トップス","レディースファッション"
"1147","ゴアテックス","素材","2101","トップス","レディースファッション"
"1148","ボア","素材","2101","トップス","レディースファッション"
"5","カーゴパンツ","タイプ","2102","ボトムス","レディースファッション"
"11","キュロット","タイプ","2102","ボトムス","レディースファッション"
"14","クロップドパンツ","タイプ","2102","ボトムス","レディースファッション"
"18","サブリナパンツ","タイプ","2102","ボトムス","レディースファッション"
"19","サルエルパンツ","タイプ","2102","ボトムス","レディースファッション"
"23","スキニーパンツ","タイプ","2102","ボトムス","レディースファッション"
"29","タイトスカート","タイプ","2102","ボトムス","レディースファッション"
"38","バギーパンツ","タイプ","2102","ボトムス","レディースファッション"
"45","フレアスカート","タイプ","2102","ボトムス","レディースファッション"
"50","ペンシルスカート","タイプ","2102","ボトムス","レディースファッション"
"69","柄パンツ","タイプ","2102","ボトムス","レディースファッション"
"70","ショート丈","丈","2102","ボトムス","レディースファッション"
"143","アーガイル","柄","2102","ボトムス","レディースファッション"
"146","ギンガムチェック","柄","2102","ボトムス","レディースファッション"
"147","グレンチェック","柄","2102","ボトムス","レディースファッション"
"148","スカル","柄","2102","ボトムス","レディースファッション"
"149","ストライプ","柄","2102","ボトムス","レディースファッション"
"150","ゼブラ","柄","2102","ボトムス","レディースファッション"
"151","タータンチェック","柄","2102","ボトムス","レディースファッション"
"152","その他チェック","柄","2102","ボトムス","レディースファッション"
"157","ハート","柄","2102","ボトムス","レディースファッション"
"159","花柄","柄","2102","ボトムス","レディースファッション"
"162","ペイズリー","柄","2102","ボトムス","レディースファッション"
"163","ボーダー","柄","2102","ボトムス","レディースファッション"
"164","星","柄","2102","ボトムス","レディースファッション"
"165","ドット（水玉）","柄","2102","ボトムス","レディースファッション"
"166","カモフラージュ（迷彩）","柄","2102","ボトムス","レディースファッション"
"167","モノグラム","柄","2102","ボトムス","レディースファッション"
"168","ユニオンジャック","柄","2102","ボトムス","レディースファッション"
"170","レオパード（ヒョウ柄）","柄","2102","ボトムス","レディースファッション"
"172","千鳥格子","柄","2102","ボトムス","レディースファッション"
"173","トロピカル柄","柄","2102","ボトムス","レディースファッション"
"266","マキシ","タイプ","2102","ボトムス","レディースファッション"
"282","ウール","素材","2102","ボトムス","レディースファッション"
"283","エナメル","素材","2102","ボトムス","レディースファッション"
"288","カシミヤ","素材","2102","ボトムス","レディースファッション"
"293","コーデュロイ","素材","2102","ボトムス","レディースファッション"
"299","シフォン","素材","2102","ボトムス","レディースファッション"
"303","シルク","素材","2102","ボトムス","レディースファッション"
"305","スウェット","素材","2102","ボトムス","レディースファッション"
"306","スエード","素材","2102","ボトムス","レディースファッション"
"309","ダンガリー","素材","2102","ボトムス","レディースファッション"
"311","ツイード","素材","2102","ボトムス","レディースファッション"
"312","ナイロン","素材","2102","ボトムス","レディースファッション"
"323","ペプラム","タイプ","2102","ボトムス","レディースファッション"
"326","ベロア","素材","2102","ボトムス","レディースファッション"
"337","リネン（麻）","素材","2102","ボトムス","レディースファッション"
"340","レーヨン","素材","2102","ボトムス","レディースファッション"
"394","プリーツスカート","タイプ","2102","ボトムス","レディースファッション"
"431","タイダイ","柄","2102","ボトムス","レディースファッション"
"492","バイカラー","柄","2102","ボトムス","レディースファッション"
"498","サーキュラースカート","タイプ","2102","ボトムス","レディースファッション"
"504","無地","柄","2102","ボトムス","レディースファッション"
"505","その他アニマル柄","柄","2102","ボトムス","レディースファッション"
"506","レザー（本革）","素材","2102","ボトムス","レディースファッション"
"507","フェイクレザー","素材","2102","ボトムス","レディースファッション"
"508","コットン","素材","2102","ボトムス","レディースファッション"
"511","ミディアム丈","丈","2102","ボトムス","レディースファッション"
"512","ロング丈","丈","2102","ボトムス","レディースファッション"
"544","アンゴラ","素材","2102","ボトムス","レディースファッション"
"546","ガウチョパンツ","タイプ","2102","ボトムス","レディースファッション"
"586","デニム","素材","2102","ボトムス","レディースファッション"
"668","レース","素材","2102","ボトムス","レディースファッション"
"699","ワイドパンツ","タイプ","2102","ボトムス","レディースファッション"
"700","スカンツ・スカーチョ","タイプ","2102","ボトムス","レディースファッション"
"701","9分丈パンツ","タイプ","2102","ボトムス","レディースファッション"
"702","センタープレスパンツ","タイプ","2102","ボトムス","レディースファッション"
"705","トライバル","柄","2102","ボトムス","レディースファッション"
"706","パイソン","柄","2102","ボトムス","レディースファッション"
"866","カットオフデニム","タイプ","2102","ボトムス","レディースファッション"
"928","スリットパンツ","タイプ","2102","ボトムス","レディースファッション"
"1037","ロゴ","柄","2102","ボトムス","レディースファッション"
"1102","ティアード","タイプ","2102","ボトムス","レディースファッション"
"1147","ゴアテックス","素材","2102","ボトムス","レディースファッション"
"1148","ボア","素材","2102","ボトムス","レディースファッション"
"1967","ダメージジーンズ","タイプ","2102","ボトムス","レディースファッション"
"13","クルーネック","襟","2103","ワンピース・オールインワン","レディースファッション"
"62","ラップドレス","タイプ","2103","ワンピース・オールインワン","レディースファッション"
"70","ショート丈","丈","2103","ワンピース・オールインワン","レディースファッション"
