"テーマID","テーマ名"
"0","指定なし"
"1","日本未入荷・海外限定アイテム"
"2","VIPセール / 顧客優待セール"
"34","I LOVE☆LAファッション"
"44","次に来るセレブブランドは？"
"56","まとめて買ってオトク☆"
"57","注目のコラボアイテム！"
"67","雑誌、ＴＶ、映画に登場アイテム♪"
"68","BIG or SMALL?日本で見つからないサイズ"
"85","入手困難! お買い時!!"
"93","【特集】雨の日もオシャレに☆"
"95","北欧雑貨特集"
"98","円高還元セール特集！"
"119","We Love Fred Segal Fun!"
"125","Planet Blue"
"130","メンズ：カジュアル"
"131","メンズ：リュクス"
"132","メンズ：デザイナーズ"
"133","メンズ：ビジネス＆トラディショナル"
"148","メンズ雑誌掲載アイテム"
"158","セレブ・ファッションブロガー愛用アイテム"
"159","Stock clearance sale：在庫一掃セール"
"160","H&M最新コラボ"
"161","限定コラボ：DvF for GapKids & babyGap"
"163","ユニセックスアイテム特集！"
"164","MENS素足で履く靴!スリッポン,サンダルetc"
"166","レディース雑誌掲載アイテム"
"168","アンティーク調のアクセサリー・時計・他"
"172","BUYMA BAZAAR"
"175","2020 BLACK FRIDAY SALE"
"177","SUPREME×THE NORTH FACE"
"178","SUPREME×COMME des GARCONS"
"179","トレンドカジュアル"
"180","オフィスカジュアル・OLスタイル"
"182","国内価格より断然お得なおすすめアイテム"
"183","大人カジュアル"
"184","韓国ファッション"
"186","親子リンクアイテムのセット販売"
"187","在庫有Supreme×LouisVuittonコラボ"
"188","人気アイテムが集合 BUYMAベストコスメ大賞"
"189","クリスマスコフレ & 限定品"
"190","ギフトにもオススメのセットアイテム"
"191","BUYMA AWARD2017"
"192","在庫確保済MONCLER2017-18"
"195","2020 ワールドセール"
"196","人気の韓国コスメ"
