"サイズ単位名","カテゴリID","カテゴリ名","カテゴリパス"
"cm","","",""
"inch","","",""
"号","","",""
"g","2212","フレグランス・コスメ",""
"mg","2212","フレグランス・コスメ",""
"ml","2212","フレグランス・コスメ",""
"g","3786","赤ちゃん用スキンケア","ベビー・キッズ"
"mg","3786","赤ちゃん用スキンケア","ベビー・キッズ"
"ml","3786","赤ちゃん用スキンケア","ベビー・キッズ"
"g","1003","ビューティー",""
"mg","1003","ビューティー",""
"ml","1003","ビューティー",""
"g","2415","電子タバコ","ライフスタイル"
"mg","2415","電子タバコ","ライフスタイル"
"ml","2415","電子タバコ","ライフスタイル"
"%","2415","電子タバコ","ライフスタイル"
"g","4414","ルームフレグランス","ライフスタイル/インテリア雑貨"
"mg","4414","ルームフレグランス","ライフスタイル/インテリア雑貨"
"ml","4414","ルームフレグランス","ライフスタイル/インテリア雑貨"
"g","2419","ワイン","ライフスタイル"
"mg","2419","ワイン","ライフスタイル"
"ml","2419","ワイン","ライフスタイル"
"%","2419","ワイン","ライフスタイル"
